symbol,exchange,date,open,high,low,close,volume,split_factor,dividend,daily_return,ma_7,ma_30
AAPL,XNAS,2025-09-09 05:45:00+05:45,237,238.78,233.36,234.35,66153200,1,0,-0.011181434599156142,236.00428571428571,225.51233333333332
AAPL,XNAS,2025-09-10 05:45:00+05:45,232.19,232.42,225.95,226.79,83321600,1,0,-0.02325681553899826,235.24,226.02966666666669
AAPL,XNAS,2025-09-11 05:45:00+05:45,226.88,230.45,226.65,230.03,50150900,1,0,0.013883991537376612,235.28428571428572,226.72899999999998
AAPL,XNAS,2025-09-12 05:45:00+05:45,229.22,234.51,229.02,234.07,55776500,1,0,0.021158712154262255,234.65571428571428,227.61233333333334
AAPL,XNAS,2025-09-15 05:45:00+05:45,237,238.19,235.03,236.7,42583729,1,0,-0.0012658227848101745,234.21571428571428,228.75633333333334
AAPL,XNAS,2025-09-16 05:45:00+05:45,237.18,241.22,236.3235,238.15,61246555,1,0,0.004089720887089969,233.99571428571429,229.9163333333333
AAPL,XNAS,2025-09-17 05:45:00+05:45,238.97,240.1,237.73,238.99,46435200,1,0,8.369251370469194e-05,234.15428571428575,231.11866666666666
AAPL,XNAS,2025-09-18 05:45:00+05:45,239.97,241.2,236.65,237.88,44219200,1,0,-0.008709422011084733,234.6585714285714,231.93966666666665
AAPL,XNAS,2025-09-19 05:45:00+05:45,241.23,246.3,240.21,245.5,163470300,1,0,0.01770094930149654,237.33142857142857,232.78866666666667
AAPL,XNAS,2025-09-22 05:45:00+05:45,248.3,256.64,248.12,256.08,105413200,1,0,0.031333064840918134,241.05285714285714,233.67966666666663
AAPL,XNAS,2025-09-23 05:45:00+05:45,255.88,257.34,253.58,254.43,60232300,1,0,-0.005666718774425468,243.96142857142857,234.58800000000002
AAPL,XNAS,2025-09-24 05:45:00+05:45,255.22,255.74,251.04,252.31,42265200,1,0,-0.01140192774860903,246.1914285714286,235.34333333333333
AAPL,XNAS,2025-09-25 05:45:00+05:45,253.21,257.17,251.71,256.87,55061300,1,0,0.014454405434224544,248.8657142857143,236.12800000000001
AAPL,XNAS,2025-09-26 05:45:00+05:45,254.1,257.6,253.78,255.46,46045700,1,0,0.00535222353404177,251.21857142857144,236.88400000000001
AAPL,XNAS,2025-09-29 05:45:00+05:45,254.56,255,253.01,254.43,40091100,1,0,-0.0005106851037083417,253.58285714285716,237.64533333333333
AAPL,XNAS,2025-09-30 05:45:00+05:45,254.86,255.92,253.11,254.63,37666900,1,0,-0.0009024562504905367,254.88714285714286,238.43666666666664
AAPL,XNAS,2025-10-01 05:45:00+05:45,255.04,258.79,254.95,255.45,45889562,1,0,0.0016075909661229478,254.7971428571429,239.26633333333334
AAPL,XNAS,2025-10-02 05:45:00+05:45,256.58,258.18,254.15,257.13,42597200,1,0,0.002143580949411534,255.18285714285716,240.30366666666666
AAPL,XNAS,2025-10-03 05:45:00+05:45,254.67,259.24,253.95,258.02,49107000,1,0,0.013154278085365354,255.99857142857147,241.40766666666667
AAPL,XNAS,2025-10-06 05:45:00+05:45,257.99,259.07,255.05,256.69,44292200,1,0,-0.0050389549982557905,255.97285714285712,242.37199999999999
AAPL,XNAS,2025-10-07 05:45:00+05:45,256.81,257.4,255.43,256.48,31923700,1,0,-0.0012849966901599785,256.11857142857144,243.34933333333336
AAPL,XNAS,2025-10-08 05:45:00+05:45,256.52,258.52,256.11,258.06,36465000,1,0,0.006003430531732499,256.63714285714286,244.30766666666665
AAPL,XNAS,2025-10-09 05:45:00+05:45,257.81,258,253.14,254.04,38270200,1,0,-0.014623172103487103,256.55285714285714,245.09266666666664
AAPL,XNAS,2025-10-10 05:45:00+05:45,254.94,256.38,244,245.27,61782400,1,0,-0.03793049344943904,255.09857142857143,245.51633333333334
AAPL,XNAS,2025-10-13 05:45:00+05:45,249.38,249.69,245.56,247.66,38104400,1,0,-0.00689710481995348,253.74571428571426,246.03366666666668
AAPL,XNAS,2025-10-14 05:45:00+05:45,246.6,248.85,244.7,247.77,35447900,1,0,0.00474452554744532,252.28142857142853,246.63533333333334
AAPL,XNAS,2025-10-15 05:45:00+05:45,249.49,251.82,247.47,249.34,33839800,1,0,-0.0006012265020642338,251.23142857142858,246.99766666666665
AAPL,XNAS,2025-10-16 05:45:00+05:45,248.25,249.04,245.13,247.45,39698000,1,0,-0.0032225579053374075,249.9414285714286,247.25333333333336
